KDTree 0 238027 8 20000 40000 60000 80000 100000 120000 140000 160000 94407.7 311840 463731 617541 828135 948710 1.10232e+06 1.39006e+06 86918.7 61234.9 #139741 284727 220788 210691 328690 311504  
BFBCT 292384 124282 8 20000 40000 60000 80000 100000 120000 140000 160000 94076.8 300384 474785 672782 891249 961391 1.1151e+06 1.24757e+06 46927.6 132599 208045 275351 262043 300662 307603 312725
Progrega 163907 164630 8 20000 40000 60000 80000 100000 120000 140000 160000 2849.79 249977 485430 653647 800300 1.04994e+06 1.18366e+06 1.33059e+06 1175.8 122095 139987 118343 126971 145316 143295 126488
Ahmed 334459 4346 8 20000 40000 60000 80000 100000 120000 140000 160000 89723.5 235536 408839 566087 835276 932651 1.12168e+06 1.56754e+06 68979.1 128990 180134 217952 262609 354240 438718 610219
