110000 24284 8260 0.546135 8 65435.7 143888 232053 276823 350994 424623 497035 568607 39165.6 88434.9 96109.9 134526 156207 125134 168741 222406
220000 26082 4594 0.974247 8 61922.1 186988 291230 397002 494569 605193 699796 816272 31670.5 87873.6 128446 209834 176402 165909 259914 301452
330000 26284 3513 0.704145 8 84892.8 188609 298515 400746 521603 607580 710653 839589 47833.9 102161 149805 220440 190007 138874 235310 341418
440000 25585 3609 0.609976 8 91342 192393 295089 409521 509951 620907 734270 787420 49352.1 99094.2 118853 212522 255508 158514 302980 189050
550000 24985 3440 0.829004 8 76256.1 185630 285434 376321 493435 590321 716111 799000 50668.5 94067 131099 209490 227883 141882 251515 126131
660000 24125 5470 0.764798 8 98020.1 188778 302211 409527 520908 636478 736088 821922 50657.9 101564 130240 219146 224048 131103 245536 274176
770000 27081 868 0.63266 8 82125.2 181054 294570 378478 501556 584747 692983 824041 47921.3 77429.2 133446 202992 172628 154159 243488 307284
880000 25766 4513 0.814559 8 85487.6 183627 286853 412213 508259 599723 673041 817013 47717.7 114610 123322 217012 144436 181712 215246 336160
990000 21958 7692 0.931447 8 79532.3 193939 287182 405722 534116 633749 709495 812296 40302 93119.7 160436 214600 114920 158314 189328 268743
1100000 24771 3853 1.07082 8 61208.3 176129 287373 398350 491237 589985 680513 802779 34774 94713.9 148902 226244 111995 229137 201757 275768
1199000 20941 5905 1.23157 8 47805.8 195536 321568 428034 509723 626071 726937 781452 27854.5 102314 170977 177399 185306 208783 173024 259733
